,Address,location,notes from form,12:00,12:30,1:00,1:30,2:00,2:30,3:00,3:30,4:00,4:30,5:00,5:30,6:00,6:30,,
,2202 6th Ave,Salon di Stile,"reggae, folk, jazz, indie - no screaming",Smooth Kiwi (30),,Colonies (40),,,,PARADE,,?,?,?,?,?,?,,
cluster 8,2501 S 12th St,People's Pilates,chill vibe but open,,,,,,,PARADE,,?,?,?,?,?,?,,
cluster 7,633 S Fife St,,no preference,Creature Hole (30),,College Radio (25),,,,PARADE,,,,,,,,,
cluster 7,637 S Fife St,,stage host? what does that mean?,,,,,,,PARADE,,Painted Pills (35),14g (25),Birds With Arms (25),,Sun Spots,Fluung (20),,
cluster 7,639 S Fife St,,any genre,,The Unsundered (25),,The Proffits,,,PARADE,,,,,,,,,
cluster 8,1130 S Fife St,,,Goodbye Viking (15),?,?,?,Omega Theory (25),?,PARADE,,FF00FF,Ponty's Revenge (20),Cab and the Rats (25),Next Stop Cosmos (20),LIFE RIPS (20),Vanier (20),,
,2708 6th Ave,The Porch Light,,?,,?,?,?,?,PARADE,,Comedy Porch,Comedy Porch,Comedy Porch,Comedy Porch,Comedy Porch,Comedy Porch,,
,710 S Anderson St,The Spire,,?,?,?,?,?,?,PARADE,,,,,,,,,
cluster 10,2802 6th Ave,TAPCO,,Daesean Brooks (20),1130,?,?,?,?,PARADE,,,,,,,,,
cluster 10,2714 6th Ave,Hi-Voltage,,?,?,?,?,?,?,PARADE,,JT Hatchet (20),,,,,,,
,2502 6th Ave,Mission Thrift,,,,,,,,PARADE,,?,?,?,?,?,?,,
,,Kid St N,,,,,,,,PARADE,,Royale Princess Wishes Character  Parties,,,,,,,
,,Kid St S,,,,,,,,PARADE,,,,,,,,,
cluster 6,619 S Oakes St,,,Grant Stillwell? Carter?,,The Astrotecs,,Sons of the Force,Lungduster (3:00),PARADE,,Swedey (30),,Federdale (45),,Desert Sushi (30),,,
,,,,,,,,,,,,,,,,,,,
